Salary1,Salary2,Job_Type,Skill,No_of_Skills,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Revenue,Employees,Industry
80000-99999,90000,data_scientist,"Linux, Perl, R, Bioinformatics, MySQL, Design Experience, Software Development, Cell Biology, Statistical Software, Oracle, Java, Python",12,2,4,30,MD,,,
80000-99999,90000,data_scientist,"Node.js, JavaScript, AI, Machine Learning, R, Python, SQL",7,,,26,IN,,,
80000-99999,90000,data_scientist,"JavaScript, R, SQL, Excel, Tableau, Java, MySQL, NoSQL, Python, DB2",10,23472,3.900000095,30,USA,,"10,000+",Consulting and Business Services
80000-99999,90000,data_scientist,"Project Management, R, SAS, Python, Tableau",5,5986,3.700000048,30,MN,more than $10B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"TensorFlow, Data Mining, Machine Learning",3,9,3.799999952,30,TX,,,
80000-99999,90000,data_scientist,"Linux, R, MySQL, Git, Immunoassays",5,,,30,MD,,,
80000-99999,90000,data_scientist,"Machine Learning, Image Processing",2,145,3.799999952,1,CA,$1B to $5B ,"10,000+",Internet and Software
80000-99999,90000,data_scientist,"Machine Learning, Visual Basic, R, Python",4,,,30,PA,,,
80000-99999,90000,data_scientist,"Machine Learning, Visual Basic, R, Python",4,,,30,PA,,,
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, Military Experience, RMF",4,4966,3.700000048,30,PA,more than $10B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, Big Data, DB2",8,157456,3.599999905,30,AR,more than $10B ,"10,000+",Retail
80000-99999,90000,data_scientist,"Machine Learning, R, SQL, Analysis Skills, Python, Data Science",6,,,30,CA,,,
80000-99999,90000,data_scientist,"TensorFlow, Data Mining, Machine Learning",3,262,3.700000048,30,TX,$5B to $10B ,"less than 10,000",Energy and Utilities
80000-99999,90000,data_scientist,"Machine Learning, Hadoop, Azure, R, SQL, T-SQL, PL/SQL, Spark, Git, Software Development, Python, AWS",12,1129,4,19,MI,$5B to $10B ,"10,000+",Health Care
80000-99999,90000,data_scientist,"AI, Data Mining, Machine Learning, Six Sigma, Lean, Microsoft Office",6,6,3.700000048,30,WA,,,
80000-99999,90000,data_scientist,"Machine Learning, R, Python",3,18,4.099999905,1,NY,,"less than 10,000",Consulting and Business Services
80000-99999,90000,data_scientist,"AI, Machine Learning, R, Python",4,2078,4.199999809,4,MI,more than $10B ,"10,000+",Industrial Manufacturing
80000-99999,90000,data_scientist,"Machine Learning, Data Management, MATLAB, R, SAS",5,2433,3.799999952,30,PA,more than $10B ,"10,000+",Health Care
80000-99999,90000,data_scientist,"Microsoft Powerpoint, Visual Basic, R, Python, SQL, Microsoft Office, Tableau",7,3947,3.400000095,5,FL,$1B to $5B ,"10,000+",
80000-99999,90000,data_scientist,"Power BI, R, JSON, SQL, Tableau, Java, Natural Language Processing, MATLAB, OOP, Python",10,44,4,7,VA,,,
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, R, Java, Natural Language Processing, Python",6,86,4.099999905,9,MD,,"less than 10,000",
80000-99999,90000,data_scientist,"Statistical Software, Data Analysis, R, SAS, Tableau",5,62,4.300000191,30,PA,,,Education and Schools
80000-99999,90000,data_scientist,"Microsoft Powerpoint, R, SAS, Microsoft Office, Excel, SQL, Managed Care",7,255,3.700000048,1,OH,,,
80000-99999,90000,data_scientist,Microsoft Office,1,23,3.599999905,30,TX,,"less than 10,000",Consulting and Business Services
80000-99999,90000,data_scientist,"Microsoft SQL Server, Data Mining, R, Oracle, SAS, SQL, Teradata",7,4479,3.299999952,30,CO,more than $10B ,"10,000+",Media and News and Publishing
80000-99999,90000,data_scientist,"Statistical Software, Business Intelligence, Data Mining, Analysis Skills, Data Analysis, SAS, Business Analysis, SQL",8,360,3.799999952,30,MO,less than $1B ,"less than 10,000",Banks and Financial Services
80000-99999,90000,data_scientist,"Java, MATLAB, Data Science, Python",4,6,4,30,CA,,,
80000-99999,90000,data_scientist,"Statistical Software, R, SAS, SQL, SPSS, Python",6,370,3.400000095,18,MN,,,
80000-99999,90000,data_scientist,Machine Learning,1,248,3.799999952,30,MN,$1B to $5B ,"10,000+",Energy and Utilities
80000-99999,90000,data_scientist,Microsoft Office,1,,,30,TX,,,
80000-99999,90000,data_scientist,"R, Statisical Analysis, SAS, Minitab, SPSS, Python",6,110,3.900000095,30,CO,,,
80000-99999,90000,data_scientist,"AI, Data Mining, Machine Learning",3,3348,3.799999952,30,USA,more than $10B ,"10,000+",Health Care
80000-99999,90000,data_scientist,"Hive, Data Mining, Machine Learning, Scripting, R, SQL, HBase, MongoDB, NoSQL, MATLAB",10,248,3.799999952,30,FL,$1B to $5B ,"10,000+",Energy and Utilities
80000-99999,90000,data_scientist,Machine Learning,1,31970,3.799999952,30,TX,more than $10B ,"10,000+",Telecommunications
80000-99999,90000,data_scientist,"Pig, Machine Learning, R, Perl, Sentiment Analytics, SQL, MySQL, SPSS, PostgreSQL, AI, Data Mining, Weka, Oracle, SAS, Minitab, Tableau, Spark, Python, Data Science",19,3094,3.299999952,11,NE,$1B to $5B ,"10,000+",Telecommunications
80000-99999,90000,data_scientist,"Statistical Software, Microsoft Powerpoint, R, SAS, STATA, Microsoft Word, SPSS",7,816,3.900000095,9,TX,,,Health Care
80000-99999,90000,data_scientist,AI,1,1568,4.199999809,10,MN,less than $1B ,"10,000+",Health Care
80000-99999,90000,data_scientist,"SAS, Excel, SQL, Microsoft Access",4,3532,3.599999905,30,GA,$5B to $10B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"Quantitative Analysis, Visual Basic, R, Oracle, C/C++, Excel, SQL, Tableau, ArcGIS, Troubleshooting, QlikView, Python, GIS",13,7197,4,5,VA,,"10,000+",Consulting and Business Services
80000-99999,90000,data_scientist,"AI, Machine Learning, R, SQL, Data Analysis, Python",6,1086,4.099999905,30,CA,more than $10B ,"10,000+",Health Care
80000-99999,90000,data_scientist,"Hive, Data Mining, Ruby, Machine Learning, Hadoop, R, Statisical Analysis, C/C++, Java, Spark, MATLAB, Python, PHP",13,112,3,30,VA,,,
80000-99999,90000,data_scientist,"Machine Learning, R, MATLAB",3,36,4.099999905,29,MA,,,
80000-99999,90000,data_scientist,"TensorFlow, Machine Learning, R, MATLAB, Data Science, Python, C/C++",7,3826,4.099999905,30,CA,more than $10B ,"10,000+",Computers and Electronics
80000-99999,90000,data_scientist,"Data Mining, Microsoft SQL Server, Machine Learning, R, SAS, SQL, Tableau, ACH, Six Sigma, Python, DB2",11,2153,3.700000048,9,NC,less than $1B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"TensorFlow, Hive, Machine Learning, R, Azure, Google Cloud Platform, Statisical Analysis, C/C++, SQL, MySQL, S3, JavaScript, Data Mining, Hadoop, Scripting, Java, Spark, Python, Data Science",19,573,3.900000095,30,CO,,,Health Care
80000-99999,90000,data_scientist,"Machine Learning, C/C++, SQL, Troubleshooting, NoSQL, Python",6,1652,4,30,WI,,,Industrial Manufacturing
80000-99999,90000,data_scientist,"Machine Learning, Data Management, Network, R, C/C++, JSON, SQL, Haskell, Java, CI, Unit Testing, NoSQL, MATLAB, Python, OOP",15,,,26,USA,,,
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, R, Statisical Analysis, Java, Natural Language Processing, MATLAB, Python",8,86,4.099999905,9,MD,,"less than 10,000",
80000-99999,90000,data_scientist,"Linux, System Design, Survival Analysis, Machine Learning, R, SQL, Java, MATLAB, Python",9,4615,3.900000095,30,CA,,"10,000+",Health Care
80000-99999,90000,data_scientist,"Database Administration, Microsoft SQL Server, R, PostgreSQL, MATLAB, OOP, PHP, Drupal, Software Testing, SAS, Microsoft Office, Content Management Systems, ArcGIS, Troubleshooting, WordPress",15,428,4.300000191,20,NM,,,Education and Schools
80000-99999,90000,data_scientist,"TensorFlow, Linux, Machine Learning, C/C++, Python, Jira",6,81,3.200000048,18,GA,less than $1B ,"less than 10,000",Consulting and Business Services
80000-99999,90000,data_scientist,"Data Mining, SAS, Excel, SQL, Microsoft Access",5,3532,3.599999905,30,GA,$5B to $10B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"Java, Machine Learning, Python",3,2174,4,1,TX,more than $10B ,"10,000+",Insurance
80000-99999,90000,data_scientist,"Big Data, SAS",2,14987,4,14,TX,more than $10B ,"10,000+",Consulting and Business Services
80000-99999,90000,data_scientist,"TensorFlow, Microsoft Project, Data Mining, Machine Learning, Hadoop, R, Scala, SAS, SQL, Excel, Tableau, Big Data, Natural Language Processing, Spark, SPSS, Visio, Python",17,1008,3.5,30,FL,more than $10B ,"less than 10,000",Health Care
80000-99999,90000,data_scientist,"Data Mining, Project Management, R, SAS, SQL, Teradata, Tableau, Python",8,1764,3.799999952,30,AZ,,"10,000+",Health Care
80000-99999,90000,data_scientist,"PL/SQL, Data Mining, Machine Learning, R, Weka, MATLAB, Oracle, Python",8,504,3.799999952,30,MI,,"10,000+",Auto
80000-99999,90000,data_scientist,"Machine Learning, SPSS, R, SAS, Python, Tableau",6,692,3.700000048,30,AZ,less than $1B ,"10,000+",Consulting and Business Services
80000-99999,90000,data_scientist,"Project Management, R, SAP, SAS, SQL, Tableau, SPSS, QlikView, MATLAB",9,302,3.799999952,28,OH,$1B to $5B ,"less than 10,000",Industrial Manufacturing
80000-99999,90000,data_scientist,,0,23,3.599999905,30,VA,,"less than 10,000",Consulting and Business Services
80000-99999,90000,data_scientist,"Linux, Red Hat Enterprise Linux, CompTIA Security+, R, C/C++, SQL, JSON, MCSD, C#, Ruby, Kafka, Java, .Net, Shell Scripting, Python, Elasticsearch",16,14,4.099999905,30,CO,,"less than 10,000",Aerospace and Defense
80000-99999,90000,data_scientist,"Linux, Red Hat Enterprise Linux, CompTIA Security+, R, C/C++, SQL, JSON, MCSD, C#, Ruby, Kafka, Java, .Net, Shell Scripting, Python, Elasticsearch",16,14,4.099999905,30,CO,,"less than 10,000",Aerospace and Defense
80000-99999,90000,data_scientist,"Data Mining, Machine Learning, Power BI, R, Microsoft Office, Python, Data Science",7,3484,3.299999952,27,NC,$1B to $5B ,"10,000+",Transport and Freight
80000-99999,90000,data_scientist,"Java, Hive, Spark, Machine Learning, Hadoop, MATLAB, Data Science",7,14629,3.900000095,30,NY,more than $10B ,"10,000+",Banks and Financial Services
80000-99999,90000,data_scientist,"TensorFlow, Linux, Machine Learning, C/C++, Python, Jira",6,81,3.200000048,30,GA,less than $1B ,"less than 10,000",Consulting and Business Services
80000-99999,90000,data_scientist,"Data Mining, Machine Learning",2,11,4.300000191,19,CA,,,
80000-99999,90000,data_scientist,"JavaScript, R, SQL, Python",4,216,4,30,OH,,,
80000-99999,90000,data_scientist,"JavaScript, R, SQL, Python",4,216,4,30,OH,,,
