,Paired Skills,Salary
768,"Data Science,S3",75460
769,"Azure,C/C++",75420
770,"Big Data,Scripting",75407
771,"AWS,Kafka",75289
772,"AWS,Cassandra",75289
773,AWS,75289
774,"AWS,TensorFlow",75289
775,"AWS,HBase",75186
776,"Linux,SPSS",75153
777,"AI,Natural Language Processing",75100
778,"Azure,R",75083
779,"Business Intelligence,S3",75067
780,"Big Data,Microsoft Office",75058
781,"Microsoft Office,MongoDB",75040
782,"AWS,Scala",75038
783,"Git,S3",74946
784,"Data Analysis,S3",74930
785,"C/C++,MySQL",74922
786,"Perl,Tableau",74905
787,"C/C++,Data Warehouse",74900
788,"MATLAB,Pig",74861
789,"AWS,Natural Language Processing",74803
790,"Linux,Scripting",74800
791,"Big Data,NoSQL",74788
792,"MongoDB,NoSQL",74769
793,"AI,Java",74676
794,"Perl,TensorFlow",74667
795,"Kafka,Perl",74667
796,"Cassandra,Perl",74667
797,Perl,74667
798,"Excel,Microsoft SQL Server",74586
799,"MySQL,R",74584
800,"Microsoft SQL Server,PostgreSQL",74565
801,"HBase,Perl",74564
802,"Data Warehouse,R",74563
803,"Linux,Microsoft Office",74451
804,"PostgreSQL,Spark",74421
805,"Azure,Data Analysis",74396
806,"AWS,Java",74330
807,"S3,Tableau",74258
808,".Net,Pig",74225
809,"Linux,NoSQL",74181
810,"Natural Language Processing,Perl",74132
811,"AWS,Tableau",74082
812,"Kafka,S3",74019
813,"S3,TensorFlow",74019
814,S3,74019
815,"Cassandra,S3",74019
816,"Hadoop,Project Management",73997
817,"PostgreSQL,Software Development",73986
818,"HBase,S3",73916
819,"Project Management,Python",73914
820,"Data Analysis,MySQL",73898
821,"Data Analysis,Data Warehouse",73877
822,"Azure,Data Science",73866
823,"Azure,Business Intelligence",73848
824,"AI,Big Data",73784
825,"SPSS,Scala",73731
826,"Azure,Tableau",73724
827,"Java,Perl",73708
828,"AI,MongoDB",73635
829,"Git,PostgreSQL",73606
830,"Excel,Hive",73597
831,"Azure,Cassandra",73485
832,"Natural Language Processing,S3",73485
833,"Azure,TensorFlow",73485
834,"Azure,Kafka",73485
835,Azure,73485
836,"AI,Linux",73452
837,"Project Management,SQL",73411
838,"Azure,HBase",73382
839,"Scala,Scripting",73377
840,"Data Science,MySQL",73368
841,"Business Intelligence,MySQL",73349
842,"Data Science,Data Warehouse",73347
843,"Business Intelligence,Data Warehouse",73328
844,"Project Management,Tableau",73325
845,"AWS,Big Data",73307
846,"AWS,MongoDB",73289
847,"Big Data,S3",73202
848,"Microsoft Office,Scala",73029
849,"Cassandra,MySQL",72987
850,"MySQL,TensorFlow",72987
851,"Kafka,MySQL",72987
852,MySQL,72987
853,Data Warehouse,72966
854,"Data Warehouse,TensorFlow",72966
855,"Cassandra,Data Warehouse",72966
856,"Data Warehouse,Kafka",72966
857,"Azure,Natural Language Processing",72951
858,"HBase,MySQL",72884
859,"Data Warehouse,HBase",72863
