,Paired Skills,Salary
545,"Data Science,SQL",119498
546,".Net,Data Science,SQL",119498
547,"Data Science,Hadoop,PostgreSQL",119494
548,"AI,Microsoft Office,Project Management",119488
549,"Data Science,Hadoop,S3",119474
550,"Data Science,R,Shell Scripting",119473
551,"Hadoop,Kafka,Microsoft SQL Server",119450
552,"Data Science,R,SQL",119450
553,"Microsoft SQL Server,R,Spark",119403
554,"Project Management,Spark,Tableau",119394
555,"Microsoft SQL Server,Oracle,Spark",119388
556,"Hadoop,Machine Learning,Microsoft SQL Server",119384
557,"AI,Java,Project Management",119364
558,"Data Science,Software Development,TensorFlow",119317
559,"AWS,Data Analysis,Data Science",119306
560,"Hive,Project Management,SAS",119285
561,".Net,MATLAB,Microsoft SQL Server",119263
562,"MATLAB,Microsoft SQL Server",119263
563,"Microsoft SQL Server,SAS",119258
564,".Net,Microsoft SQL Server,SAS",119258
565,"Data Science,MySQL,Natural Language Processing",119192
566,"Microsoft SQL Server,Pig,Spark",119191
567,"Business Intelligence,Data Science,Tableau",119177
568,"Data Analysis,Microsoft SQL Server,TensorFlow",119174
569,"MySQL,Project Management,SQL",119150
570,"Data Science,Pig,Shell Scripting",119137
571,"Data Science,Pig,SQL",119105
572,"MATLAB,Microsoft SQL Server,R",119082
573,"Business Intelligence,Microsoft SQL Server,Project Management",119075
574,"Data Science,Oracle,Shell Scripting",119075
575,"Azure,Microsoft SQL Server,Project Management",119023
576,"Big Data,Project Management,SQL",119020
577,"Data Science,Hive,Natural Language Processing",118990
578,"Microsoft SQL Server,Software Development,Tableau",118984
579,"MySQL,SAS,Tableau",118969
580,"AI,Java,Tableau",118938
581,"Business Intelligence,Data Science,Oracle",118922
582,"Microsoft SQL Server,R,SAS",118914
583,"MATLAB,Microsoft SQL Server,Pig",118870
584,"Microsoft SQL Server,Pig,SAS",118865
585,"HBase,Microsoft SQL Server,SQL",118843
586,"SAS,Tableau,TensorFlow",118808
587,"Hadoop,MATLAB,SQL",118741
588,"MATLAB,SAS,SQL",118725
589,"Data Science,HBase,Hive",118716
590,"AI,HBase,Tableau",118705
591,"AI,SAS,TensorFlow",118701
592,"Data Science,Hadoop,SAS",118690
593,".Net,MATLAB,Project Management",118649
594,"MATLAB,Project Management",118649
595,"Data Science,SPSS,TensorFlow",118631
596,"Hadoop,Microsoft SQL Server,SPSS",118600
597,"AI,Data Science,SPSS",118600
598,"Project Management,Spark",118581
599,".Net,Project Management,Spark",118581
600,"Data Science,Data Warehouse,Hadoop",118567
