,loc
493,"[40.7127281, -74.0060152]"
494,"[40.7127281, -74.0060152]"
495,"[40.7607161, -73.9669623]"
496,"[40.7589594623532, -73.9795718759534]"
497,"[40.7644002, -73.998863]"
498,"[34.220389, 70.3800314]"
499,"[40.7589594623532, -73.9795718759534]"
500,"[34.220389, 70.3800314]"
501,"[40.7896239, -73.9598939]"
502,"[40.7592545, -73.9798434]"
503,"[40.7127281, -74.0060152]"
504,"[34.220389, 70.3800314]"
505,"[34.220389, 70.3800314]"
506,"[40.7607161, -73.9669623]"
507,"[40.7607161, -73.9669623]"
508,"[40.7127281, -74.0060152]"
509,"[40.7607161, -73.9669623]"
510,"[40.7127281, -74.0060152]"
511,"[40.7127281, -74.0060152]"
512,"[40.7127281, -74.0060152]"
513,"[40.74123595, -73.356691165361]"
514,"[40.7127281, -74.0060152]"
515,"[40.7127281, -74.0060152]"
516,"[40.7127281, -74.0060152]"
517,"[40.7127281, -74.0060152]"
518,"[40.7127281, -74.0060152]"
519,"[40.74123595, -73.356691165361]"
520,"[34.220389, 70.3800314]"
521,"[34.220389, 70.3800314]"
522,"[40.7127281, -74.0060152]"
523,"[40.7127281, -74.0060152]"
524,"[40.7127281, -74.0060152]"
525,"[40.7607161, -73.9669623]"
526,"[40.7415237, -73.9571276]"
527,"[40.7127281, -74.0060152]"
528,"[40.7555755, -73.97503]"
529,"[40.7127281, -74.0060152]"
530,"[34.220389, 70.3800314]"
531,"[40.7127281, -74.0060152]"
532,"[40.7415237, -73.9571276]"
533,"[34.220389, 70.3800314]"
534,"[40.7524472, -73.9646461]"
535,"[34.220389, 70.3800314]"
536,"[40.74123595, -73.356691165361]"
537,"[40.7127281, -74.0060152]"
538,"[40.7127281, -74.0060152]"
539,"[34.220389, 70.3800314]"
540,"[40.7644002, -73.998863]"
541,"[40.7127281, -74.0060152]"
542,"[40.6501038, -73.9495823]"
543,"[40.74123595, -73.356691165361]"
544,"[40.7607161, -73.9669623]"
545,"[40.7127281, -74.0060152]"
546,"[34.220389, 70.3800314]"
547,"[34.220389, 70.3800314]"
548,"[40.7127281, -74.0060152]"
549,"[40.7127281, -74.0060152]"
550,"[40.7127281, -74.0060152]"
551,"[40.7127281, -74.0060152]"
552,"[34.220389, 70.3800314]"
553,"[40.7127281, -74.0060152]"
554,"[40.7127281, -74.0060152]"
555,"[40.7607161, -73.9669623]"
556,"[40.7127281, -74.0060152]"
557,"[40.7127281, -74.0060152]"
558,"[34.220389, 70.3800314]"
559,"[40.7644002, -73.998863]"
560,"[34.220389, 70.3800314]"
561,"[40.7127281, -74.0060152]"
562,"[40.7127281, -74.0060152]"
563,"[40.7127281, -74.0060152]"
564,"[40.74123595, -73.356691165361]"
565,"[40.7546485, -73.974771]"
566,"[40.7127281, -74.0060152]"
567,"[34.220389, 70.3800314]"
568,"[40.7127281, -74.0060152]"
569,"[40.7602435, -74.0028752]"
570,"[40.7127281, -74.0060152]"
571,"[34.220389, 70.3800314]"
572,"[40.7127281, -74.0060152]"
573,"[40.7524472, -73.9646461]"
574,"[40.7127281, -74.0060152]"
575,"[40.7607161, -73.9669623]"
576,"[40.74123595, -73.356691165361]"
577,"[40.6501038, -73.9495823]"
578,"[40.7644002, -73.998863]"
579,"[40.7607161, -73.9669623]"
580,"[34.220389, 70.3800314]"
581,"[40.7127281, -74.0060152]"
582,"[40.7127281, -74.0060152]"
583,"[34.220389, 70.3800314]"
584,"[40.7127281, -74.0060152]"
585,"[40.7415237, -73.9571276]"
586,"[40.7127281, -74.0060152]"
587,"[40.7896239, -73.9598939]"
588,"[34.220389, 70.3800314]"
589,"[40.7127281, -74.0060152]"
590,"[40.7127281, -74.0060152]"
591,"[40.7127281, -74.0060152]"
592,"[40.72982535, -73.9607519781549]"
593,"[40.7127281, -74.0060152]"
594,"[40.7127281, -74.0060152]"
595,"[34.220389, 70.3800314]"
596,"[40.6501038, -73.9495823]"
597,"[40.7127281, -74.0060152]"
598,"[40.7127281, -74.0060152]"
599,"[40.7127281, -74.0060152]"
600,"[34.220389, 70.3800314]"
601,"[34.220389, 70.3800314]"
602,"[34.220389, 70.3800314]"
603,"[40.7602435, -74.0028752]"
604,"[40.7896239, -73.9598939]"
605,"[40.7127281, -74.0060152]"
606,"[40.7127281, -74.0060152]"
607,"[40.7127281, -74.0060152]"
608,"[40.7127281, -74.0060152]"
609,"[34.220389, 70.3800314]"
610,"[34.220389, 70.3800314]"
611,"[34.220389, 70.3800314]"
612,"[40.7127281, -74.0060152]"
613,"[40.7127281, -74.0060152]"
614,"[40.7127281, -74.0060152]"
615,"[40.7896239, -73.9598939]"
616,"[40.7127281, -74.0060152]"
617,"[34.220389, 70.3800314]"
618,"[40.7127281, -74.0060152]"
619,"[40.7127281, -74.0060152]"
620,"[40.7127281, -74.0060152]"
621,"[40.7546485, -73.974771]"
622,"[40.7127281, -74.0060152]"
623,"[40.7127281, -74.0060152]"
624,"[34.220389, 70.3800314]"
625,"[40.7493074, -73.9794185]"
626,"[40.7392225, -73.97336]"
627,"[40.7127281, -74.0060152]"
628,"[34.220389, 70.3800314]"
629,"[40.7127281, -74.0060152]"
630,"[34.220389, 70.3800314]"
631,"[40.7127281, -74.0060152]"
632,"[40.7127281, -74.0060152]"
633,"[34.220389, 70.3800314]"
634,"[34.220389, 70.3800314]"
635,"[40.7127281, -74.0060152]"
636,"[40.72982535, -73.9607519781549]"
637,"[40.7127281, -74.0060152]"
638,"[40.7127281, -74.0060152]"
639,"[40.7484282571429, -73.9855041857143]"
640,"[40.7602435, -74.0028752]"
641,"[40.74123595, -73.356691165361]"
642,"[40.7127281, -74.0060152]"
643,"[40.7127281, -74.0060152]"
644,"[40.7127281, -74.0060152]"
645,"[40.7602435, -74.0028752]"
646,"[34.220389, 70.3800314]"
647,"[40.7127281, -74.0060152]"
648,"[40.7127281, -74.0060152]"
649,"[34.220389, 70.3800314]"
650,"[40.7644002, -73.998863]"
651,"[40.7555755, -73.97503]"
652,"[40.7896239, -73.9598939]"
653,"[40.7127281, -74.0060152]"
654,"[40.7127281, -74.0060152]"
655,"[40.7127281, -74.0060152]"
656,"[40.7127281, -74.0060152]"
657,"[40.7127281, -74.0060152]"
658,"[40.7127281, -74.0060152]"
659,"[40.7127281, -74.0060152]"
660,"[34.220389, 70.3800314]"
661,"[34.220389, 70.3800314]"
662,"[34.220389, 70.3800314]"
663,"[40.77851305, -73.9819370869743]"
664,"[40.7127281, -74.0060152]"
665,"[40.7392225, -73.97336]"
666,"[40.72982535, -73.9607519781549]"
667,"[34.220389, 70.3800314]"
668,"[40.72982535, -73.9607519781549]"
669,"[40.7127281, -74.0060152]"
670,"[40.7127281, -74.0060152]"
671,"[40.7127281, -74.0060152]"
672,"[40.7127281, -74.0060152]"
673,"[40.7607161, -73.9669623]"
674,"[40.7127281, -74.0060152]"
675,"[40.7127281, -74.0060152]"
676,"[40.7127281, -74.0060152]"
677,"[40.7127281, -74.0060152]"
678,"[34.220389, 70.3800314]"
679,"[40.74123595, -73.356691165361]"
680,"[34.220389, 70.3800314]"
681,"[40.7127281, -74.0060152]"
682,"[40.7127281, -74.0060152]"
683,"[40.7127281, -74.0060152]"
684,"[40.7127281, -74.0060152]"
685,"[40.7579089, -73.9854044]"
686,"[40.7127281, -74.0060152]"
687,"[40.7127281, -74.0060152]"
688,"[40.7127281, -74.0060152]"
689,"[40.72982535, -73.9607519781549]"
690,"[34.220389, 70.3800314]"
691,"[40.7607161, -73.9669623]"
692,"[40.7127281, -74.0060152]"
693,"[34.220389, 70.3800314]"
694,"[40.7127281, -74.0060152]"
695,"[40.74123595, -73.356691165361]"
696,"[40.7607161, -73.9669623]"
697,"[40.7127281, -74.0060152]"
698,"[34.220389, 70.3800314]"
699,"[40.7127281, -74.0060152]"
700,"[40.7127281, -74.0060152]"
701,"[40.74123595, -73.356691165361]"
702,"[34.220389, 70.3800314]"
703,"[40.7644002, -73.998863]"
704,"[40.74123595, -73.356691165361]"
705,"[34.220389, 70.3800314]"
706,"[40.7524472, -73.9646461]"
707,"[34.220389, 70.3800314]"
708,"[34.220389, 70.3800314]"
709,"[40.7644002, -73.998863]"
710,"[40.7127281, -74.0060152]"
711,"[40.7127281, -74.0060152]"
712,"[40.7127281, -74.0060152]"
713,"[40.74123595, -73.356691165361]"
714,"[40.7127281, -74.0060152]"
715,"[40.7127281, -74.0060152]"
716,"[40.7644002, -73.998863]"
717,"[40.7127281, -74.0060152]"
718,"[40.7127281, -74.0060152]"
719,"[40.7644002, -73.998863]"
720,"[40.7127281, -74.0060152]"
721,"[40.7644002, -73.998863]"
722,"[40.7127281, -74.0060152]"
723,"[40.6501038, -73.9495823]"
724,"[40.7127281, -74.0060152]"
725,"[40.7896239, -73.9598939]"
726,"[40.6524927, -73.7914214158161]"
727,"[34.220389, 70.3800314]"
728,"[34.220389, 70.3800314]"
729,"[40.7127281, -74.0060152]"
730,"[40.74123595, -73.356691165361]"
731,"[40.7127281, -74.0060152]"
732,"[40.7127281, -74.0060152]"
733,"[40.74123595, -73.356691165361]"
734,"[34.220389, 70.3800314]"
735,"[40.7127281, -74.0060152]"
736,"[34.220389, 70.3800314]"
737,"[40.7127281, -74.0060152]"
738,"[34.220389, 70.3800314]"
739,"[34.220389, 70.3800314]"
740,"[34.220389, 70.3800314]"
